place_id,name,types,rating,user_ratings_total,price_level,lat,lon,vicinity,business_status,editorial_summary,website,international_phone_number,cuisine_detected,cuisine_source,top_review_language,top_language_share,n_reviews_fetched,review_language_counts_json,cuisine_detected_ext,cuisine_source_ext,brand_name,brand_category,brand_source
ChIJxyLwkRHZdUgRUo3ANVfCTg8,The Jovial Sailor Ripley,"bar,establishment,food,point_of_interest,restaurant",4.3,1523.0,2.0,51.2894022,-0.5021131000000001,"Portsmouth Road Ripley, Woking",OPERATIONAL,Pub in a historic building with garden seating offering a classic & creative food menu & drinks.,http://www.baronspubs.com/jovialsailor/,+44 1483 224360,unknown,,en,1.0,5,"{""en"": 5}",american,extended_text,,,
ChIJZa8q9BrZdUgRffRW4ycIR-U,Shell,"cafe,convenience_store,establishment,food,gas_station,point_of_interest,restaurant,store",3.2,48.0,2.0,51.281842,-0.513326,"Portsmouth Rd, Send, Woking",OPERATIONAL,,https://find.shell.com/gb/fuel/10019487-shell-little-waitrose-burnt-common/en_GB,+44 1483 223469,unknown,,en,1.0,5,"{""en"": 5}",european,extended_text,,,
ChIJywrlUoDRdUgR8-Z61BloOfg,Pig Out Pizza Limited,"establishment,food,point_of_interest,restaurant",5.0,1.0,,51.2901661,-0.502703,"Ripley Nurseries, Ripple nurseries, Portsmouth Rd, Ripley, Woking",OPERATIONAL,,,+44 7867 867415,unknown,,und,1.0,1,"{""und"": 1}",italian,extended_text,,,
ChIJ16mpRD3ZdUgRIupSNHUOsds,M&S Food To Go,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",2.6,55.0,2.0,51.2929471,-0.4899991,"Ripley By-Pass Wisley, A3,10, Woking",OPERATIONAL,,https://www.marksandspencer.com/stores/guildford-wisley-north-bp-0083?extid=local,+44 1483 211062,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJAcqe0zzZdUgR3pDe79_xkh0,M&S Food To Go,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest,restaurant,store,supermarket",2.9,96.0,2.0,51.2936083,-0.4876465,"Ripley By-Pass A3, Wisley South Guildford BP, South Street 43, Woking",OPERATIONAL,,https://www.marksandspencer.com/stores/guildford-wisley-south-bp-0156?extid=local,+44 333 014 8555,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJ8c-c0zzZdUgRA867pS2LwkQ,Starbucks Coffee,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",3.8,1150.0,2.0,51.29259,-0.4904899999999999,"A3, Wisley A3 Services North, Ripley, Woking",OPERATIONAL,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",https://www.starbucks.co.uk/store-locator/28689,+44 1483 225513,unknown,,en,1.0,5,"{""en"": 5}",cafe,brand,starbucks,coffee,name
ChIJKXprQB_ZdUgRzr9vxNhxOPk,Pinnock's,"cafe,establishment,food,point_of_interest,restaurant,store",4.7,817.0,2.0,51.2999141,-0.4931878,"Pinnocks, High St, Ripley, Woking",OPERATIONAL,,http://pinnocks.coffee/,+44 1483 222419,unknown,,en,1.0,5,"{""en"": 5}",cafe,extended_keywords,,,
ChIJMy2jyix62EcRiVfD8YoT_a8,Toby Cottage Restaurant,"bar,establishment,food,point_of_interest,restaurant",4.7,405.0,,51.298405,-0.495565,"High St, Ripley, Woking",OPERATIONAL,Nostalgic aura to one-time cottage shop with English and continental menus and Toby Jug decoration.,https://tobycottage.co.uk/,+44 1483 224225,unknown,,en,1.0,5,"{""en"": 5}",european,extended_text,,,
ChIJfwthMSPZdUgRqQGSSgZzcxQ,Starbucks Wisley A3 Southbound,"cafe,establishment,food,meal_takeaway,point_of_interest,restaurant,store",3.8,813.0,2.0,51.29338000000001,-0.4879600000000001,"Ripley By-Pass, Ripley, Woking",OPERATIONAL,"Seattle-based coffeehouse chain known for its signature roasts, light bites and WiFi availability.",https://www.starbucks.co.uk/store-locator/52098,+44 1483 222453,unknown,,en,1.0,5,"{""en"": 5}",cafe,brand,starbucks,coffee,name
ChIJKXprQB_ZdUgR3g3-wX6snrk,The Ripley Anchor,"bar,establishment,food,point_of_interest,restaurant",4.5,428.0,3.0,51.29955289999999,-0.4932074,"High St, Ripley, Woking",OPERATIONAL,"Homely pub with 16th-century roots offering real ales, plus a dining area for creative British fare.",http://www.ripleyanchor.co.uk/,+44 1483 211866,unknown,,en,1.0,5,"{""en"": 5}",french,extended_text,,,
ChIJPRWKaR_ZdUgRY8yX50Wt9iQ,Sea Salt,"establishment,food,meal_takeaway,point_of_interest,restaurant",4.5,238.0,1.0,51.3000209,-0.4925173,"8 High St, Ripley, Woking",OPERATIONAL,,,+44 1483 479334,unknown,,en,1.0,5,"{""en"": 5}",indian,extended_text,,,
ChIJyYQug_jmh0gRAGrOtua1NM8,The Drift Golf Club,"establishment,food,health,point_of_interest,restaurant,store",4.5,247.0,,51.2887226,-0.4298545,"The Drift, East Horsley, Leatherhead",OPERATIONAL,,http://www.driftgolfclub.com/,+44 1483 284641,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
ChIJ487yJ5vedUgRYzN61ITciw8,La Meridiana,"establishment,food,point_of_interest,restaurant",4.5,448.0,3.0,51.2781058,-0.4359485,"Ockham Rd S, East Horsley, Leatherhead",OPERATIONAL,"High-end Italian dining in relaxed, restaurant with pastel stucco walls and Tuscan landscape murals.",http://www.lameridiana.co.uk/,+44 1483 284343,unknown,,en,1.0,5,"{""en"": 5}",italian,extended_text,,,
